"2021-02-08T00:00:00Z[Etc/UTC]","1750.18","---"
"2021-01-20T00:00:00Z[Etc/UTC]","1377.53","---"
"2021-02-09T00:00:00Z[Etc/UTC]","1770.63","---"
"2021-02-10T00:00:00Z[Etc/UTC]","1742.09","Saída"
"2021-02-12T00:00:00Z[Etc/UTC]","1841.02","---"
"2021-02-13T00:00:00Z[Etc/UTC]","1815.49","Saída"
"2021-02-14T00:00:00Z[Etc/UTC]","1801.78","---"
"2021-02-11T00:00:00Z[Etc/UTC]","1786.35","---"
"2021-02-15T00:00:00Z[Etc/UTC]","1778.82","---"
"2021-02-16T00:00:00Z[Etc/UTC]","1781.69","Entrada"
"2021-02-17T00:00:00Z[Etc/UTC]","1847.95","---"
"2021-02-18T00:00:00Z[Etc/UTC]","1934.16","---"
"2021-02-19T00:00:00Z[Etc/UTC]","1955.59","---"
"2021-02-20T00:00:00Z[Etc/UTC]","1913.88","Saída"
"2021-01-22T00:00:00Z[Etc/UTC]","1234.58","---"
"2021-02-21T00:00:00Z[Etc/UTC]","1933.45","---"
"2021-02-22T00:00:00Z[Etc/UTC]","1777.28","---"
"2021-02-24T00:00:00Z[Etc/UTC]","1623.71","---"
"2021-02-23T00:00:00Z[Etc/UTC]","1578.11","---"
"2021-02-27T00:00:00Z[Etc/UTC]","1458.93","---"
"2021-02-26T00:00:00Z[Etc/UTC]","1445.44","---"
"2021-02-28T00:00:00Z[Etc/UTC]","1418.76","Entrada"
"2021-03-02T00:00:00Z[Etc/UTC]","1488.62","---"
"2021-03-01T00:00:00Z[Etc/UTC]","1570.03","---"
"2021-03-03T00:00:00Z[Etc/UTC]","1571.05","---"
"2021-03-04T00:00:00Z[Etc/UTC]","1538.61","---"
"2021-03-05T00:00:00Z[Etc/UTC]","1530.29","Saída"
"2021-03-06T00:00:00Z[Etc/UTC]","1649.19","---"
"2021-03-07T00:00:00Z[Etc/UTC]","1728.1","---"
"2021-03-08T00:00:00Z[Etc/UTC]","1831.49","---"
"2021-03-09T00:00:00Z[Etc/UTC]","1869.1","---"
"2021-03-10T00:00:00Z[Etc/UTC]","1794.14","Saída"
"2021-03-11T00:00:00Z[Etc/UTC]","1825.79","---"
"2021-03-12T00:00:00Z[Etc/UTC]","1766.9","Saída"
"2021-03-13T00:00:00Z[Etc/UTC]","1921.13","---"
"2021-03-16T00:00:00Z[Etc/UTC]","1804.85","Entrada"
"2021-03-17T00:00:00Z[Etc/UTC]","1823.35","---"
"2021-03-18T00:00:00Z[Etc/UTC]","1776.08","Saída"
"2021-03-14T00:00:00Z[Etc/UTC]","1849.06","Saída"
"2021-02-25T00:00:00Z[Etc/UTC]","1476.15","---"
"2021-03-20T00:00:00Z[Etc/UTC]","1804.6","Saída"
"2021-03-19T00:00:00Z[Etc/UTC]","1809.64","---"
"2021-03-21T00:00:00Z[Etc/UTC]","1783.72","---"
"2021-03-15T00:00:00Z[Etc/UTC]","1792.38","---"
"2021-03-23T00:00:00Z[Etc/UTC]","1667.9","---"
"2021-03-22T00:00:00Z[Etc/UTC]","1682.37","---"
"2021-03-24T00:00:00Z[Etc/UTC]","1582.38","---"
"2021-03-26T00:00:00Z[Etc/UTC]","1698.6","---"
"2021-03-25T00:00:00Z[Etc/UTC]","1586.54","Entrada"
"2021-03-27T00:00:00Z[Etc/UTC]","1713.01","---"
"2021-03-28T00:00:00Z[Etc/UTC]","1686.8","---"
"2021-03-29T00:00:00Z[Etc/UTC]","1816.69","---"
"2021-03-30T00:00:00Z[Etc/UTC]","1841.01","---"
"2021-03-31T00:00:00Z[Etc/UTC]","1917.99","---"
"2021-04-01T00:00:00Z[Etc/UTC]","1967.96","---"
"2021-04-02T00:00:00Z[Etc/UTC]","2134.55","---"
"2021-04-03T00:00:00Z[Etc/UTC]","2008.59","Saída"
"2021-04-05T00:00:00Z[Etc/UTC]","2106.41","---"
"2021-04-06T00:00:00Z[Etc/UTC]","2111.53","---"
"2021-04-04T00:00:00Z[Etc/UTC]","2075.94","---"
