"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"2020-08-24T00:00:00Z[Etc/UTC]","407.7","390.81","410.17","387.62","6.69","---"
"2020-08-25T00:00:00Z[Etc/UTC]","383.2","407.64","409.02","370.4","8.28","---"
"2020-08-26T00:00:00Z[Etc/UTC]","385.96","383.16","392.61","377.63","6.69","---"
"2020-08-27T00:00:00Z[Etc/UTC]","383.11","385.96","396.48","372.53","7.03","---"
"2020-08-28T00:00:00Z[Etc/UTC]","395.11","383.16","397.64","379.8","6.16","---"
"2020-08-29T00:00:00Z[Etc/UTC]","398.8","395.32","405.53","391.97","5.23","---"
"2020-08-30T00:00:00Z[Etc/UTC]","428.86","398.8","429.59","398.47","6.67","---"
"2020-08-31T00:00:00Z[Etc/UTC]","433.9","428.81","438.71","418.35","7.89","---"
"2020-09-01T00:00:00Z[Etc/UTC]","475.8","433.89","488.24","429.65","10.42","---"
"2020-09-02T00:00:00Z[Etc/UTC]","439.08","475.72","480.96","423.26","30.14","---"
"2020-09-03T00:00:00Z[Etc/UTC]","381.97","439.14","466.4","376.99","33.59","---"
"2020-09-04T00:00:00Z[Etc/UTC]","385.94","381.97","399.58","368.22","25.2","---"
"2020-09-05T00:00:00Z[Etc/UTC]","334.91","385.94","394.12","314.13","35.32","---"
"2020-09-06T00:00:00Z[Etc/UTC]","353.49","334.91","358.09","316.69","20.13","---"
"2020-09-07T00:00:00Z[Etc/UTC]","352.06","353.49","357.33","325.47","21.69","---"
"2020-09-08T00:00:00Z[Etc/UTC]","337.46","352.06","355.69","326.66","18.98","---"
"2020-09-09T00:00:00Z[Etc/UTC]","351.1","337.46","358.33","331.12","14.07","---"
"2020-09-10T00:00:00Z[Etc/UTC]","367.92","351.1","376.92","350.86","16.5","---"
"2020-09-11T00:00:00Z[Etc/UTC]","373.72","367.89","374.41","356.38","12.53","---"
"2020-09-12T00:00:00Z[Etc/UTC]","387.98","373.74","388.12","366.05","11.49","---"
"2020-09-13T00:00:00Z[Etc/UTC]","365.71","388.06","389.51","353.85","10.38","---"
"2020-09-14T00:00:00Z[Etc/UTC]","376.7","365.89","383.99","357.54","10.34","---"
"2020-09-15T00:00:00Z[Etc/UTC]","364.01","376.7","381.67","362.4","9.06","---"
"2020-09-16T00:00:00Z[Etc/UTC]","364.88","363.91","372.88","355.18","9.06","---"
"2020-09-17T00:00:00Z[Etc/UTC]","388.97","364.75","393.96","363.54","12.85","---"
"2020-09-18T00:00:00Z[Etc/UTC]","384.2","389.37","392.21","375.81","8.95","---"
"2020-09-19T00:00:00Z[Etc/UTC]","385.25","384.25","386.99","377.63","6.74","---"
"2020-09-20T00:00:00Z[Etc/UTC]","371.12","385.33","385.39","365.48","7.3","---"
"2020-09-21T00:00:00Z[Etc/UTC]","341.3","371.09","375.34","331.41","11.41","---"
"2020-09-22T00:00:00Z[Etc/UTC]","344.03","341.32","346.19","336.15","9.29","---"
"2020-09-23T00:00:00Z[Etc/UTC]","319.95","343.96","344.12","315.54","13.88","---"
"2020-09-24T00:00:00Z[Etc/UTC]","349.17","319.97","352.6","317.27","9.4","---"
"2020-09-25T00:00:00Z[Etc/UTC]","351.63","349.13","357.8","338.01","8.47","---"
"2020-09-26T00:00:00Z[Etc/UTC]","354.25","351.62","355.87","346.95","6.48","---"
"2020-09-27T00:00:00Z[Etc/UTC]","357.23","354.26","362.0","347.51","6.35","---"
"2020-09-28T00:00:00Z[Etc/UTC]","354.08","357.42","367.63","352.57","7.77","---"
"2020-09-29T00:00:00Z[Etc/UTC]","359.86","353.97","360.66","351.48","6.26","---"
"2020-09-30T00:00:00Z[Etc/UTC]","359.39","359.77","360.94","352.81","5.43","---"
"2020-10-01T00:00:00Z[Etc/UTC]","353.07","359.5","369.1","345.66","7.93","---"
"2020-10-02T00:00:00Z[Etc/UTC]","345.68","353.06","353.61","335.91","7.27","---"
"2020-10-03T00:00:00Z[Etc/UTC]","345.6","345.78","351.04","343.74","4.48","---"
"2020-10-04T00:00:00Z[Etc/UTC]","352.73","345.6","353.97","344.03","4.77","---"
"2020-10-05T00:00:00Z[Etc/UTC]","353.28","352.69","354.86","348.76","4.96","---"
"2020-10-06T00:00:00Z[Etc/UTC]","340.61","353.53","354.9","337.21","7.32","---"
"2020-10-07T00:00:00Z[Etc/UTC]","341.48","340.59","342.68","334.11","5.77","---"
"2020-10-08T00:00:00Z[Etc/UTC]","350.83","341.66","352.95","334.79","6.85","---"
"2020-10-09T00:00:00Z[Etc/UTC]","365.28","350.71","368.19","347.82","7.85","---"
"2020-10-10T00:00:00Z[Etc/UTC]","370.16","365.25","377.97","364.57","7.17","---"
"2020-10-11T00:00:00Z[Etc/UTC]","374.19","370.28","377.27","369.23","5.22","---"
"2020-10-12T00:00:00Z[Etc/UTC]","386.68","374.39","394.58","366.05","10.39","---"
"2020-10-13T00:00:00Z[Etc/UTC]","381.23","386.64","387.06","374.57","7.92","---"
"2020-10-14T00:00:00Z[Etc/UTC]","379.15","381.13","387.11","373.62","8.08","---"
"2020-10-15T00:00:00Z[Etc/UTC]","377.45","378.96","380.77","370.39","7.93","---"
"2020-10-16T00:00:00Z[Etc/UTC]","365.17","377.6","379.6","362.65","7.59","---"
